,ring,benchmark,map_unknown_distribution
0,5,0.16666666666666666,0.26473057243364245
1,6,0.14285714285714285,0.2298832186850104
2,7,0.125,0.20960323174146067
3,8,0.1111111111111111,0.1907923683052678
4,9,0.1,0.17296540691861628
5,10,0.09090909090909091,0.162627959053103
6,11,0.08333333333333333,0.14813629819228924
7,12,0.07692307692307693,0.14094
8,13,0.07142857142857142,0.1337892968562515
9,14,0.06666666666666667,0.12225755484890302
10,15,0.0625,0.11740591129064512
